quarter,fund_number,fund_name,scheme_name,provider,fum,members,fund_start_date,return_1yr,return_5yr_avg,fee_total,risk_indicator,return_yr1,return_yr2,return_yr3,return_yr4,return_yr5,return_yr6,return_yr7,return_yr8,return_yr9,return_yr10,alloc_cash_and_cash_equivalents,alloc_new_zealand_fixed_interest,alloc_international_fixed_interest,alloc_australasian_equities,alloc_international_equities,alloc_listed_properties,alloc_unlisted_properties,alloc_other,alloc_commodities,target_cash_and_cash_equivalents,target_new_zealand_fixed_interest,target_international_fixed_interest,target_australasian_equities,target_international_equities,target_listed_properties,target_unlisted_properties,target_other,target_commodities
2021-09-30,FND10,FIRST MORTGAGE PIE TRUST,FIRST MORTGAGE PIE TRUST,FIRST MORTGAGE MANAGERS LIMITED,451201610.6,,2008-01-01,3.19,3.62,1.66,1,,,,,,,,,,,10.18,1.78,,,,,,88.04,,10.0,7.5,,,,,,82.5,
2021-09-30,FND100,AMP CAPITAL ETHICAL LEADERS CONSERVATIVE FUND,AMP CAPITAL INVESTMENT FUNDS,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,7504377.09,,1995-06-06,4.62,3.13,1.25,3,,,,,,,,,,,25.13,25.41,23.75,2.92,14.93,7.86,0.0,0.0,0.0,0.25,0.25,0.25,0.05,0.13,0.07,0.0,0.0,0.0
2021-09-30,FND101,AMP CAPITAL ETHICAL LEADERS BALANCED FUND,AMP CAPITAL INVESTMENT FUNDS,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,47168311.69,,2009-08-11,15.49,7.09,1.32,4,,,,,,,,,,,9.91,12.33,11.35,18.82,36.77,10.82,0.0,0.0,0.0,0.1,0.125,0.125,0.2,0.35,0.1,0.0,0.0,0.0
2021-09-30,FND102,AMP CAPITAL ETHICAL LEADERS GROWTH FUND,AMP CAPITAL INVESTMENT FUNDS,AMP INVESTMENT MANAGEMENT (N.Z.) LIMITED,12348410.62,,1995-06-06,23.19,9.68,1.46,5,,,,,,,,,,,6.4,2.37,1.38,20.78,58.59,10.48,0.0,0.0,0.0,0.05,0.025,0.025,0.225,0.575,0.1,0.0,0.0,0.0
2021-09-30,FND1023,LIFESAVER PRESERVATION FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,35574885.89,568,2006-07-01,0.05,1.24,0.51,1,,,,,,,,,,,70.24,29.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND10330,CONSERVATIVE FUND,KIWI WEALTH MANAGED FUNDS,KIWI WEALTH LIMITED,42407933.0,,2018-07-31,0.56,,0.7,3,,,,,,,,,,,8.94,36.09,39.78,0.14,14.3,0.32,,0.43,,42.5,42.5,,,15.0,,,,
2021-09-30,FND10331,BALANCED FUND,KIWI WEALTH MANAGED FUNDS,KIWI WEALTH LIMITED,152181030.0,,2018-07-31,11.78,,0.83,4,,,,,,,,,,,5.04,18.33,20.2,0.54,53.09,1.19,,1.61,,22.5,22.5,,,55.0,,,,
2021-09-30,FND10332,GROWTH FUND,KIWI WEALTH MANAGED FUNDS,KIWI WEALTH LIMITED,127634391.0,,2018-07-31,20.88,,0.95,5,,,,,,,,,,,2.06,4.72,5.2,0.84,82.8,1.86,,2.52,,750.0,7.5,,,8500.0,,,,
2021-09-30,FND10338,SHIELDED GROWTH FUND,BOOSTER INVESTMENT SCHEME,BOOSTER INVESTMENT MANAGEMENT LIMITED,10694626.62,11,2018-05-31,15.23,,2.99,4,,,,,,,,,,,6.03,2.14,0.23,26.87,60.34,3.94,0.45,,,1.0,,,33.0,52.0,6.0,8.0,,
2021-09-30,FND1034,ENHANCED CASH FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,7848538.82,0,1997-06-01,0.18,1.14,0.43,1,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND10340,SHIELDED GROWTH PORTFOLIO,BOOSTER SUPERSCHEME,BOOSTER INVESTMENT MANAGEMENT LIMITED,2122014.47,31,2018-05-31,16.15,,1.65,4,,,,,,,,,,,7.03,2.13,0.23,26.58,59.69,3.9,0.44,,,1.0,,,33.0,52.0,8.0,6.0,,
2021-09-30,FND1035,CORPORATE BOND FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,44181190.56,0,2008-06-10,-2.06,1.82,0.6,2,,,,,,,,,,,1.02,98.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1036,INTERNATIONAL DIVERSIFIED BOND FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,67062163.29,0,2001-10-01,0.79,1.97,0.69,3,,,,,,,,,,,1.12,0.0,98.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1037,AUSTRALASIAN DIVERSIFIED SHARE FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,30201402.89,0,2011-07-08,15.67,11.87,1.14,5,,,,,,,,,,,0.98,0.0,0.0,99.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1039,INTERNATIONAL DIVERSIFIED SHARE FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,56046296.5,0,2008-06-10,21.47,11.94,1.48,5,,,,,,,,,,,1.14,0.0,0.0,0.0,98.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND10396,ANTIPODES GLOBAL FUND (PIE),ANTIPODES INVESTMENT FUNDS,IMPLEMENTED INVESTMENT SOLUTIONS LIMITED,28867649.0,,2018-07-25,15.89,,1.19,4,,,,,,,,,,,5.0,,,1.29,104.36,,,-10.65,,,,,,100.0,,,,
2021-09-30,FND1040,PROPERTY FUND,WESTPAC PREMIUM INVESTMENT FUNDS,BT FUNDS MANAGEMENT (NZ) LIMITED,24511476.81,0,1997-06-01,17.34,7.99,1.03,5,,,,,,,,,,,0.92,0.0,0.0,0.0,0.0,99.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2021-09-30,FND1044,LIFESAVER CONSERVATIVE FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,38460197.11,525,2006-10-01,4.57,4.4,0.89,3,,,,,,,,,,,17.13,23.83,31.76,5.5,11.75,0.0,4.55,5.48,0.0,19.5,18.0,35.0,5.5,12.0,0.0,5.0,5.0,0.0
2021-09-30,FND1045,LIFESAVER NEW ZEALAND FIXED INCOME FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,9818419.49,208,1991-09-01,-4.08,2.18,0.66,3,,,,,,,,,,,15.22,84.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1046,LIFESAVER BALANCED FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,331241786.8,2600,2006-07-01,12.21,8.11,0.99,4,,,,,,,,,,,7.49,17.06,19.73,15.93,27.73,0.0,5.0,7.06,0.0,6.0,12.0,25.0,16.0,29.0,0.0,6.0,6.0,0.0
2021-09-30,FND1047,LIFESAVER GROWTH FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,128456149.4,1467,2006-10-01,18.57,10.62,1.09,4,,,,,,,,,,,6.65,13.13,1.95,28.65,40.61,0.0,2.88,6.13,0.0,5.0,6.0,9.0,29.0,42.0,0.0,4.5,4.5,0.0
2021-09-30,FND1048,LIFESAVER TRANS TASMAN EQUITY FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,40178368.01,457,1992-03-01,27.65,16.15,0.92,5,,,,,,,,,,,3.13,0.0,0.0,96.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1049,LIFESAVER EQUITY FUND,FISHER FUNDS LIFESAVER PLAN,FISHER FUNDS MANAGEMENT LIMITED,70740054.2,811,2006-07-01,25.02,13.89,1.13,5,,,,,,,,,,,4.01,0.28,0.0,38.92,56.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,60.0,0.0,0.0,0.0,0.0
2021-09-30,FND10581,ANTIPODES GLOBAL FUND LONG (PIE),ANTIPODES INVESTMENT FUNDS,IMPLEMENTED INVESTMENT SOLUTIONS LIMITED,1943044.0,,2018-07-25,20.37,,1.21,5,,,,,,,,,,,8.96,,,0.97,90.07,,,,,,,,,100.0,,,,
2021-09-30,FND1060,FISHER FUNDS CASHPLUS FUND,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,30893156.81,149,2008-04-30,-0.15,1.03,0.78,1,,,,,,,,,,,70.22,29.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1064,FISHER FUNDS NEW ZEALAND FIXED INCOME TRUST,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,145995563.8,30,2011-07-20,-4.26,1.88,1.0,3,,,,,,,,,,,14.23,85.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1065,FISHER FUNDS BONDPLUS FUND,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,183417427.3,154,1990-11-01,-0.47,1.64,1.21,3,,,,,,,,,,,1.26,0.0,98.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1066,FISHER FUNDS MULTI SECTOR FUND,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,14307725.8,269,1988-04-29,10.93,7.05,2.13,4,,,,,,,,,,,7.56,16.87,19.59,15.84,28.22,0.0,4.85,7.07,0.0,6.0,12.0,25.0,16.0,29.0,0.0,6.0,6.0,0.0
2021-09-30,FND1067,FISHER FUNDS TRANS TASMAN EQUITY TRUST,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,88202701.0,417,1985-11-29,26.93,15.54,1.67,5,,,,,,,,,,,2.66,0.0,0.0,97.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1068,FISHER FUNDS GLOBAL FUND,FISHER FUNDS INVESTMENT SERIES,FISHER FUNDS MANAGEMENT LIMITED,142836174.5,1115,1985-11-29,23.86,12.33,1.66,5,,,,,,,,,,,4.1,0.0,0.0,0.0,95.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1093,NZ CORE EQUITY TRUST,NZ CORE EQUITY TRUST,SMARTSHARES LIMITED,112073904.0,6,2014-07-24,22.57,13.23,0.5,5,,,,,,,,,,,0.4,0.0,0.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1094,SMARTSHARES ASIA PACIFIC ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,134038708.0,871,2015-07-29,14.93,8.19,0.55,5,,,,,,,,,,,1.17,0.0,0.0,0.0,98.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1095,SMARTSHARES AUSTRALIAN DIVIDEND ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,29583486.0,959,2014-12-16,15.24,3.84,0.54,6,,,,,,,,,,,1.53,0.0,0.0,98.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1096,SMARTSHARES AUSTRALIAN FINANCIALS ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,24698945.0,407,2015-04-07,49.51,5.77,0.54,6,,,,,,,,,,,0.06,0.0,0.0,99.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1097,SMARTSHARES AUSTRALIAN MID CAP ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,165316685.0,2087,2016-11-07,27.92,0.0,0.75,6,,,,,,,,,,,0.53,0.0,0.0,99.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1098,SMARTSHARES AUSTRALIAN PROPERTY ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,65357451.0,582,2014-12-16,24.55,6.91,0.54,6,,,,,,,,,,,0.66,0.0,0.0,0.0,0.0,99.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2021-09-30,FND1099,SMARTSHARES AUSTRALIAN RESOURCES ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,42612307.0,821,2015-04-07,11.47,11.88,0.54,6,,,,,,,,,,,2.54,0.0,0.0,97.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1100,SMARTSHARES EUROPE ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,200045022.0,892,2015-07-29,20.99,8.99,0.55,6,,,,,,,,,,,1.17,0.0,0.0,0.0,98.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1101,SMARTSHARES GLOBAL BOND ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,225237710.0,410,2015-11-12,0.44,2.45,0.54,3,,,,,,,,,,,1.37,0.0,98.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1103,SMARTSHARES NZ BOND ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,318464044.0,799,2015-11-12,-2.35,2.47,0.54,3,,,,,,,,,,,0.73,99.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1104,SMARTSHARES NZ CASH ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,324009883.0,115,2015-11-12,0.42,1.44,0.2,1,,,,,,,,,,,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1105,SMARTSHARES NZ DIVIDEND ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,112813604.0,2607,2015-04-07,19.36,7.34,0.54,5,,,,,,,,,,,0.64,0.0,0.0,99.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
2021-09-30,FND1106,SMARTSHARES US 500 ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,419172336.0,3633,2015-07-29,25.02,16.75,0.34,5,,,,,,,,,,,1.44,0.0,0.0,0.0,98.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1107,SMARTSHARES US LARGE GROWTH ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,184100736.0,1640,2015-07-29,22.23,21.79,0.51,6,,,,,,,,,,,1.78,0.0,0.0,0.0,98.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1108,SMARTSHARES US LARGE VALUE ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,74537530.0,448,2015-07-29,27.78,11.96,0.51,5,,,,,,,,,,,1.56,0.0,0.0,0.0,98.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1109,SMARTSHARES US MID CAP ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,101256039.0,404,2015-07-29,30.21,14.38,0.51,6,,,,,,,,,,,1.06,0.0,0.0,0.0,98.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1110,SMARTSHARES US SMALL CAP ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,89792465.0,421,2015-07-29,37.89,13.82,0.51,6,,,,,,,,,,,0.96,0.0,0.0,0.0,99.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1111,SMARTSHARES EMERGING MARKETS ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,157869786.0,1238,2015-07-29,12.21,7.89,0.59,5,,,,,,,,,,,1.09,0.0,0.0,0.0,98.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2021-09-30,FND1112,SMARTSHARES TOTAL WORLD ETF,SMARTSHARES EXCHANGE TRADED FUNDS,SMARTSHARES LIMITED,172111205.0,1409,2015-07-29,22.41,12.91,0.4,5,,,,,,,,,,,2.17,0.0,0.0,0.0,97.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
